history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;MICEXINDEXCF;2013-01-08;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1514.82;1474.73;1517.88;1474.73;28125592665;;;2;4930627860085.88;RUB;
SNDX;MICEXINDEXCF;2013-01-09;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1516.01;1514.82;1517.2;1510.61;24568615387;;;2;4934493830371.75;RUB;
SNDX;MICEXINDEXCF;2013-01-10;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1507.16;1516.01;1518.41;1506.96;21391418630;;;2;4905683121093.93;RUB;
SNDX;MICEXINDEXCF;2013-01-11;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1510.84;1507.16;1513.04;1503.38;25937713627;;;2;4917651618344.12;RUB;
SNDX;MICEXINDEXCF;2013-01-14;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1528.48;1510.84;1529.57;1510.21;29527731602;;;2;4975081026720.35;RUB;
SNDX;MICEXINDEXCF;2013-01-15;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1515.25;1528.48;1528.48;1515.16;28128871450;;;2;4932016161617.56;RUB;
SNDX;MICEXINDEXCF;2013-01-16;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1514.86;1515.25;1517.34;1507.33;26762399689;;;2;4930761559446.28;RUB;
SNDX;MICEXINDEXCF;2013-01-17;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1523.74;1514.86;1524.94;1513.62;28742401455;;;2;4959649773272.78;RUB;
SNDX;MICEXINDEXCF;2013-01-18;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1540.55;1523.74;1542.11;1523.73;32083659514;;;2;5014353118831.65;RUB;
SNDX;MICEXINDEXCF;2013-01-21;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1537.66;1540.57;1542.8;1533.26;20228111196;;;2;5004949917137.99;RUB;
SNDX;MICEXINDEXCF;2013-01-22;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1525.36;1537.68;1540.03;1517.01;29071076123;;;2;4964923435904.57;RUB;
SNDX;MICEXINDEXCF;2013-01-23;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1537.49;1525.28;1538.13;1523.81;30708514361;;;2;5004412632501.05;RUB;
SNDX;MICEXINDEXCF;2013-01-24;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1533.77;1537.44;1537.44;1518.82;28057984779;;;2;4992320580038.28;RUB;
SNDX;MICEXINDEXCF;2013-01-25;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1544.02;1533.77;1544.85;1526.02;26799999785;;;2;5025673324670.26;RUB;
SNDX;MICEXINDEXCF;2013-01-28;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1562.93;1544.02;1563.93;1543.24;36868118874;;;2;5087236312604.43;RUB;
SNDX;MICEXINDEXCF;2013-01-29;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1549.75;1562.93;1566.42;1549.18;35474705206;;;2;5044329851157.89;RUB;
SNDX;MICEXINDEXCF;2013-01-30;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1543.43;1549.75;1559.47;1537.08;40522711737;;;2;5023759126946.94;RUB;
SNDX;MICEXINDEXCF;2013-01-31;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1546.76;1543.43;1547.37;1535.52;47237500628;;;2;5034609052629.68;RUB;
SNDX;MICEXINDEXCF;2013-02-01;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1547.22;1546.52;1555.83;1543.13;34334607728;;;2;5036108894321.56;RUB;
SNDX;MICEXINDEXCF;2013-02-04;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1535.35;1547.22;1553.38;1533.42;25356270723;;;2;4997465278424.74;RUB;
SNDX;MICEXINDEXCF;2013-02-05;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1540.36;1535.37;1540.63;1528.49;22140490026;;;2;5013764193362.88;RUB;
SNDX;MICEXINDEXCF;2013-02-06;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1530.38;1540.39;1553.19;1526.93;34338338017;;;2;4981271927551.13;RUB;
SNDX;MICEXINDEXCF;2013-02-07;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1525.88;1530.38;1533.06;1518.86;25128055119;;;2;4966622521139.81;RUB;
SNDX;MICEXINDEXCF;2013-02-08;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1519.91;1526.12;1527.19;1510.83;30159632179;;;2;4947177073901.11;RUB;
SNDX;MICEXINDEXCF;2013-02-11;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1515.89;1519.93;1527.03;1515.39;23302220559;;;2;4934083590154.38;RUB;
SNDX;MICEXINDEXCF;2013-02-12;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1512.03;1515.87;1518.75;1507.54;29668631469;;;2;4921519749722.97;RUB;
SNDX;MICEXINDEXCF;2013-02-13;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1537.93;1512.03;1541;1512.03;42614233203;;;2;5005833871598.64;RUB;
SNDX;MICEXINDEXCF;2013-02-14;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1519.22;1537.93;1550.03;1514.14;51054329453;;;2;4944938063650.33;RUB;
SNDX;MICEXINDEXCF;2013-02-15;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1508.17;1519.22;1520.14;1500.79;30814130610;;;2;4908960922230;RUB;
SNDX;MICEXINDEXCF;2013-02-18;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1510.35;1508.19;1511.72;1498.3;21780745727;;;2;4916048401351.58;RUB;
SNDX;MICEXINDEXCF;2013-02-19;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1522.69;1510.33;1523.35;1509.54;27424347409;;;2;4956203544184.96;RUB;
SNDX;MICEXINDEXCF;2013-02-20;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1511.4;1522.69;1526.34;1511.08;28688707042;;;2;4919460433261.41;RUB;
SNDX;MICEXINDEXCF;2013-02-21;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1493.71;1511.4;1512.27;1486.49;33395032808;;;2;4861874375144.65;RUB;
SNDX;MICEXINDEXCF;2013-02-22;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1496.61;1493.71;1501.69;1491.83;19790688616;;;2;4871320376174.8;RUB;
SNDX;MICEXINDEXCF;2013-02-25;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1503.66;1496.61;1506.47;1493.35;17979565413;;;2;4894264204697.24;RUB;
SNDX;MICEXINDEXCF;2013-02-26;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1484.67;1503.75;1504.98;1482.01;28674421480;;;2;4832458451784.18;RUB;
SNDX;MICEXINDEXCF;2013-02-27;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1487.17;1484.67;1491.64;1481.11;22085437674;;;2;4840596891662.11;RUB;
SNDX;MICEXINDEXCF;2013-02-28;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1486.04;1487.17;1496.61;1483.24;29418028425;;;2;4836910635673.36;RUB;
SNDX;MICEXINDEXCF;2013-03-01;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1473.54;1486.06;1487.46;1466.84;27527371073;;;2;4796233118784.16;RUB;
SNDX;MICEXINDEXCF;2013-03-04;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1464.45;1473.54;1477.27;1461.45;23998198622;;;2;4766504719801.54;RUB;3254811524.000000
SNDX;MICEXINDEXCF;2013-03-05;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1484.22;1463.98;1486.19;1462.49;28454587813;;;2;4830844117928.15;RUB;3254811524.000000
SNDX;MICEXINDEXCF;2013-03-06;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1491.49;1485.04;1498.07;1485.04;24362639895;;;2;4854517964272.09;RUB;3254811524.000000
SNDX;MICEXINDEXCF;2013-03-07;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1491.35;1491.99;1498.29;1489.02;17891430067;;;2;4854074748418.93;RUB;3254811524.000000
SNDX;MICEXINDEXCF;2013-03-11;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1504.05;1491.14;1516.49;1491.14;29248093678;;;2;4895383052144.3;RUB;3254811524.000000
SNDX;MICEXINDEXCF;2013-03-12;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1501.76;1503.98;1506.42;1494.92;20954538726;;;2;4887959648581.32;RUB;3254811524.000000
SNDX;MICEXINDEXCF;2013-03-13;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1496.37;1501.41;1510.67;1493.55;34427331426;;;2;4870395542186.3;RUB;3254811524.000000
SNDX;MICEXINDEXCF;2013-03-14;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1498.97;1495.73;1504.74;1490.35;30538071356;;;2;4878856829098.08;RUB;3254811524.000000
SNDX;MICEXINDEXCF;2013-03-15;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1495.11;1498.83;1515.16;1493.61;38836289692;;;2;4866304571460.22;RUB;3254811524.000000
SNDX;MICEXINDEXCF;2013-03-18;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1462.82;1495.71;1497.9;1449.22;46421292814;;;2;4798213984239.45;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-03-19;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1449.2;1461.88;1469.78;1448.55;34324229278;;;2;4753516631390.34;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-03-20;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1459.03;1448.84;1460.66;1442.68;35046897909;;;2;4785754116903.08;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-03-21;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1459.22;1458.24;1466.95;1457.93;28550397392;;;2;4786393765077.21;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-03-22;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1441.36;1459.17;1460.39;1440.27;27710099845;;;2;4727802270732.39;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-03-25;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1428.46;1441.26;1458.58;1425.78;29212972358;;;2;4685485402225.87;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-03-26;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1417;1427.99;1432.41;1412.41;35279244171;;;2;4647902216604.81;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-03-27;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1425;1416.78;1426.68;1407.22;33964026675;;;2;4674146849765.3;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-03-28;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1434.18;1424.56;1434.38;1414.96;37964361070;;;2;4704265598220.23;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-03-29;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1438.57;1434.88;1440.1;1432.8;10120213882;;;2;4718644324106.3;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-01;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1428.47;1438.84;1442.7;1427.83;12718423398;;;2;4685543843610.84;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-02;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1430.3;1428.29;1435.12;1424.9;23890774042;;;2;4691516343146.72;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-03;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1427.94;1430.3;1433.81;1422.48;26439439095;;;2;4683804410061;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-04;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1426.87;1427.42;1440.62;1416.75;36268432074;;;2;4680280285907.06;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-05;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1416.69;1426.61;1430.55;1410.47;31492181208;;;2;4646893178186.05;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-08;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1408.55;1417.28;1430.58;1406.67;25323378471;;;2;4620198596859.02;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-09;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1425.49;1408.81;1427.29;1408.81;25693833642;;;2;4675762002101.02;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-10;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1425.5;1425.79;1432.55;1419.96;28034210901;;;2;4675796003727.1;RUB;3280102934.000000
