history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;MICEXINDEXCF;1997-09-22;Индекс МосБиржи (архив);Индекс МосБиржи (архив);100;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-09-23;Индекс МосБиржи (архив);Индекс МосБиржи (архив);100.67;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-09-24;Индекс МосБиржи (архив);Индекс МосБиржи (архив);99.94;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-09-25;Индекс МосБиржи (архив);Индекс МосБиржи (архив);99.46;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-09-26;Индекс МосБиржи (архив);Индекс МосБиржи (архив);98.87;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-09-29;Индекс МосБиржи (архив);Индекс МосБиржи (архив);99.14;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-09-30;Индекс МосБиржи (архив);Индекс МосБиржи (архив);100.16;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-01;Индекс МосБиржи (архив);Индекс МосБиржи (архив);101.21;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-02;Индекс МосБиржи (архив);Индекс МосБиржи (архив);105.8;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-03;Индекс МосБиржи (архив);Индекс МосБиржи (архив);110.73;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-06;Индекс МосБиржи (архив);Индекс МосБиржи (архив);115.03;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-07;Индекс МосБиржи (архив);Индекс МосБиржи (архив);112.67;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-08;Индекс МосБиржи (архив);Индекс МосБиржи (архив);112.22;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-09;Индекс МосБиржи (архив);Индекс МосБиржи (архив);107.89;;;;;;;2;;RUB;
